Y,min_length,max_length,type_match,count,std,median
1.0,36.04782591337757,36.04782591337757,1.0,0.0,-1.0,-1.0
1.0,10.765140403763343,36.04782591337757,0.0,1.0,0.0,7.054571067332362
1.0,36.04782591337757,37.5941693104425,1.0,28.0,0.5754129297244411,1.563695993425501
0.0,19.033324499818058,36.04782591337757,1.0,2.0,1.3177965856409346,10.167190285166718
1.0,36.04782591337757,36.04782591337757,1.0,0.0,-1.0,-1.0
0.0,6.218467191528941,36.04782591337757,1.0,1.0,0.0,18.717371138432668
1.0,32.95927224801485,36.04782591337757,0.0,25.0,0.3262515632613893,1.2750970989510082
1.0,15.129738925357644,36.04782591337757,1.0,3.0,0.2618392476658538,2.1150402309333076
1.0,19.130106468315034,36.04782591337757,0.0,8.0,1.622212596440748,2.523102698266385
1.0,97.7218747662792,97.7218747662792,1.0,0.0,-1.0,-1.0
1.0,23.298091822956675,97.7218747662792,0.0,27.0,10.388531274311267,7.880573897725279
1.0,16.936092698131457,97.7218747662792,1.0,1.0,0.0,23.5698989957368
1.0,14.179032400788078,97.7218747662792,1.0,4.0,1.820410602461378,12.205202127689759
1.0,3.4486726245306176,97.7218747662792,0.0,2.0,0.2583391011336732,24.524344775177795
1.0,97.7218747662792,97.7218747662792,1.0,0.0,-1.0,-1.0
1.0,2.265584675253254,97.7218747662792,0.0,4.0,0.03331348736513446,0.9558580070691414
0.0,31.24893282392268,97.7218747662792,0.0,2.0,0.02393343865544406,3.6174934386738338
1.0,68.2470433821595,97.7218747662792,0.0,27.0,5.163736232586253,1.1998414843129952
1.0,16.936092698131457,97.7218747662792,1.0,1.0,0.0,5.166747147421053
1.0,71.78406842204812,97.7218747662792,1.0,2.0,1.8459060499860263,44.4441421749693
1.0,3.4486726245306176,97.7218747662792,0.0,2.0,0.10986224487260722,0.9707642240243817
1.0,97.7218747662792,136.9073840319004,0.0,45.0,2.1291867084813196,1.5828797610962353
1.0,8.637352593460495,97.7218747662792,0.0,10.0,1.1208532260724349,1.6306468885353238
1.0,6.810887170070895,6.810887170070895,1.0,0.0,-1.0,-1.0
1.0,6.810887170070895,37.08827593030041,0.0,9.0,0.4913810200997,1.5755992856169716
1.0,6.810887170070895,6.810887170070895,1.0,0.0,-1.0,-1.0
1.0,6.810887170070895,26.841509353169677,1.0,1.0,0.0,0.014625284829413806
1.0,6.810887170070895,36.558007778221835,1.0,7.0,0.17506183050050153,2.3467687959724643
1.0,25.232158248255928,25.232158248255928,1.0,0.0,-1.0,-1.0
1.0,18.237808599058695,25.232158248255928,0.0,5.0,0.2535868190905684,1.3365041308291947
1.0,25.232158248255928,36.76496947084327,0.0,25.0,0.6049387846858176,1.9208637562232185
1.0,25.232158248255928,25.232158248255928,1.0,0.0,-1.0,-1.0
1.0,25.232158248255928,36.76496947084327,0.0,4.0,0.8560724183102065,9.23025904748852
1.0,5.678287281750014,25.232158248255928,0.0,1.0,0.0,13.75666856454085
1.0,5.160312200558784,25.232158248255928,1.0,1.0,0.0,12.05930681710258
1.0,25.232158248255928,29.03974296499977,0.0,20.0,2.7963868434183192,1.8547891457031982
1.0,8.048625630576415,8.048625630576415,1.0,0.0,-1.0,-1.0
0.0,8.048625630576415,26.650402790920108,0.0,1.0,0.0,6.609514364501915
1.0,8.048625630576415,17.00102473207567,0.0,2.0,2.5691261932449906E-4,0.9224329382072651
1.0,8.048625630576415,11.756277791680018,0.0,12.0,0.8965065025608869,2.567844750401786
1.0,8.048625630576415,8.048625630576415,1.0,0.0,-1.0,-1.0
1.0,8.048625630576415,9.622279704850396,0.0,8.0,0.5536234118807167,2.0217341687174977
0.0,8.048625630576415,29.802540192252085,0.0,1.0,0.0,10.88288160626612
1.0,4.851553919143013,8.048625630576415,0.0,1.0,0.0,12.421088071396198
1.0,4.072610012264788,4.072610012264788,1.0,0.0,-1.0,-1.0
1.0,3.0782526722853065,4.072610012264788,1.0,2.0,0.3590416594579449,1.3087696280747736
1.0,0.7441884166429465,4.072610012264788,1.0,1.0,0.0,3.650259015931159
1.0,4.072610012264788,18.057809318449713,0.0,5.0,0.18683941549900646,1.4788620987871846
1.0,4.072610012264788,4.072610012264788,1.0,0.0,-1.0,-1.0
1.0,1.4320605579920562,1.4320605579920562,1.0,0.0,-1.0,-1.0
0.0,1.4320605579920562,238.99842506985564,0.0,1.0,0.0,3.4493576291963715
0.0,1.4320605579920562,3.6991490562945426,1.0,1.0,0.0,4.619745266442241
